E01	benzene	1.1	Benzene 1,2-dioxygenase	1.14.12.3
E02	benzene	1.1	cis-1,2-dihydrobenzene-1,2-diol dehydrogenase	1.3.1.19
E03	benzene	1.2	Phenol 2-monooxygenase	1.14.13.244
E04	benzene	1.3	2-hydroxymuconic semialdehyde hydrolase	3.7.1.9
E05	benzene	1.3	2-oxopent-4enoate hydratase	4.2.1.80
